Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,4378,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,10730,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,18965,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,22494,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,85+,21670,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,80425,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,10,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,33,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,83,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,222,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,517,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,951,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1240,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1580,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,4636,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,25,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,79,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,195,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,487,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1163,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1997,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,2386,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,2487,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,8819,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,24,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,153,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,631,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2083,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,5918,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,10779,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,13466,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,15908,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,48962,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,4,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,36,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,144,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,628,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,2409,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,5442,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,7987,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,9549,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,26200,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,70,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,260,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,643,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1802,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,3992,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,6328,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,6827,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,7303,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrest,I46,All Ages,27225,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,13,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,33,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,99,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,341,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1103,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,2750,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,4519,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,6156,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,15014,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,0-24,7,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,25-34,53,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,35-44,118,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,45-54,409,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,55-64,1305,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,65-74,2760,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,75-84,4435,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,85+,6735,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Heart failure,I50,All Ages,15822,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,7,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,38,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,120,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,422,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1324,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,2593,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,3309,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,3644,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,11458,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,63,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,143,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,321,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,770,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1759,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,2985,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,3407,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,3990,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,13438,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,0-24,51,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,25-34,209,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,35-44,521,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,45-54,1578,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,55-64,3716,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,65-74,6027,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,75-84,5497,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,85+,3977,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Sepsis,Sepsis,A40-A41,All Ages,21576,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,36,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,52,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,140,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,400,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1462,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,2880,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,3243,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,2678,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,10891,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,0-24,58,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,25-34,244,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,35-44,835,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,45-54,2526,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,55-64,6168,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,65-74,10118,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,75-84,10054,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,85+,7409,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Diabetes,Diabetes,E10-E14,All Ages,37412,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,0-24,117,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,25-34,405,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,35-44,896,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,45-54,1501,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,55-64,2187,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,65-74,2162,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,75-84,1126,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,85+,310,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Obesity,Obesity,E65-E68,All Ages,8704,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,5,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,66,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,587,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,2512,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,5474,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Alzheimer disease,Alzheimer disease,G30,All Ages,8644,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,29,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,386,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2366,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,7611,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,15219,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,25614,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,0-24,27,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,25-34,164,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,35-44,434,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,45-54,1300,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,55-64,3127,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,65-74,5361,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,75-84,5514,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,85+,4862,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
11/15/2020,02/01/2020,11/14/2020,US,Renal failure,Renal failure,N17-N19,All Ages,20791,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,86,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,244,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,316,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,514,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,995,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1564,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1937,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,2619,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,
11/15/2020,02/01/2020,11/14/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,8275,
11/15/2020,02/01/2020,11/14/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,402,
11/15/2020,02/01/2020,11/14/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,1094,
11/15/2020,02/01/2020,11/14/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,2396,
11/15/2020,02/01/2020,11/14/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,6396,
11/15/2020,02/01/2020,11/14/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,15901,
11/15/2020,02/01/2020,11/14/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,27866,
